민원 일자,민원 건수
2022-12-01,11040
2022-12-02,10673
2022-12-03,6751
2022-12-04,6842
2022-12-05,9583
2022-12-06,9066
2022-12-07,9828
2022-12-08,9832
2022-12-09,9582
2022-12-10,7621
2022-12-11,7374
2022-12-12,9346
2022-12-13,9098
2022-12-14,8406
2022-12-15,8014
2022-12-16,8183
2022-12-17,6057
2022-12-18,6049
2022-12-19,8070
2022-12-20,8826
2022-12-21,9222
2022-12-22,8392
2022-12-23,8637
2022-12-24,6945
2022-12-25,6853
2022-12-26,9029
2022-12-27,9337
2022-12-28,9998
2022-12-29,9135
2022-12-30,8794
2022-12-31,8553
