키워드,분석 스코어
파주시,314.50626
경기북부 국민안전체험관,231.1094
고양,199.80458
운정,148.0147
고등학교 배치,104.0
유치 결정,87.0
고양시 덕은지구 학생,81.44415
김포,78.19747
경기북부 50만 파주시민,74.83944
파주 운정,74.57143
오산시,74.53048
산하 공공기관,72.888885
유치 3차 공모,72.888885
교육청,71.423164
경기북부 지자체,69.6
공모중,69.6
국민안전체험관 시설,69.6
경기북부 파주,58.0
시설건립 지역안배,58.0
이용거리 형평성,58.0
인구수,58.0
원인자 부담 원칙,57.02069
통학 대책,56.669388
A3,54.666668
야당동,54.666668
통학 대책 확보 요구,53.6
고양시 소관,52.0
파국 개식용,40.88889
법규 안내집,30.666666
법적 정보 개식용 종식,30.666666
대로변,26.4
솔밭4거리,26.4
SK뷰 입주자,23.574194
매교역,23.574194
통학버스,22.0
가칭 신강일역,21.369864
고사장 편차,21.118011
학부모,18.478632
가남읍 대신리,18.457144
가남읍 삼군리,18.457144
신강일발 열차,18.318182
평면환승,18.318182
가남읍 태평리,17.733334
가남읍 금당리,17.538462
강천면 강천리,17.538462
강천면 이호리,17.272728
불법주정차,16.0
영상 오른쪽 하단부,14.318182
유치원,14.193548
장애인주차구역,13.5
후방영상,13.3714285
대신면 보통리,12.666667
교육부,11.538462
신호위반,11.18644
고등학교 통학대책,10.153846
정류장,10.08
번호판,9.6
안전사고,9.6
지자체,9.342465
코로나,8.869565
교육부 중투심,8.0
수원지원청 학교시설,8.0
유의미,8.0
권익위,7.3333335
학령 인구,7.3333335
불법 주정차 신고,7.0588236
시공사,6.6666665
전화번호,6.4
일반차량,6.0392156
고사장 학교 이름,6.0
금광면 사흥리,5.8461537
공립유치원 학급감축 통보,5.714286
금광면 옥정리,5.647059
고삼면 가유리,5.6
버스차선,5.6
전기차 충전방해,5.6
학급감축,5.419355
미양면 구수리,5.3333335
대중교통,5.185185
과태료,5.0526314
입석,4.875
도로교통법 위반,4.869565
예산 낭비,4.8
인천시,4.736842
과태료 부과 요망,4.714286
사전점검,4.6153846
문자원문,4.5454545
집회 날 도지사,4.285714
광역버스,4.193548
비장애인 차량,4.0
스카이뷰,4.0
혼잡상태,4.0
훼손 농지,4.0
보행자,3.8095238
이비자,3.652174
방향지시등,3.6
자전거보관대 설치위치 설계변경요청건,3.5789473
갓길주행,3.5555556
시흥IC출구 도로교통법 제60조 1항,3.5555556
시화MTV 이비자가든,3.4666667
